phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D015179,species,820,Bacteroides uniformis,Bacteria,1449,4.307953877,2.15535,5.555423897
D015179,species,853,Faecalibacterium prausnitzii,Bacteria,1394,5.613303877,3.21763,6.978513782
D015179,species,40520,Blautia obeum,Bacteria,1382,0.69143418,0.29129,1.018327314
D015179,species,821,Bacteroides vulgatus,Bacteria,1381,4.095774258,1.90268,5.495049738
D015179,species,28116,Bacteroides ovatus,Bacteria,1281,1.197051972,0.4134,2.380642845
D015179,species,818,Bacteroides thetaiotaomicron,Bacteria,1265,1.167369942,0.45618,2.132956014
D015179,species,357276,Bacteroides dorei,Bacteria,1261,2.283201131,0.439252,5.20444548
D015179,species,39491,[Eubacterium] rectale,Bacteria,1260,3.654667955,0.47709,6.136016545
D015179,species,28117,Alistipes putredinis,Bacteria,1234,2.769708404,1.714895,3.472238855
D015179,species,823,Parabacteroides distasonis,Bacteria,1197,0.661566031,0.219266,2.177641545
D015179,species,33039,[Ruminococcus] torques,Bacteria,1195,2.132165967,1.15657,2.852102804
D015179,species,39488,[Eubacterium] hallii,Bacteria,1160,0.633591539,0.114655,1.444077853
D015179,species,410072,Coprococcus comes,Bacteria,1153,0.673592623,0.32683,0.937308529
D015179,species,88431,Dorea longicatena,Bacteria,1151,0.893832332,0.208816,1.715644855
D015179,species,46503,Parabacteroides merdae,Bacteria,1147,1.392966933,0.84405,1.605168937
D015179,species,74426,Collinsella aerofaciens,Bacteria,1147,1.036831803,0.4422,1.408944873
D015179,species,360807,Roseburia inulinivorans,Bacteria,1135,1.106210223,0.36211,2.152782506
D015179,species,328814,Alistipes shahii,Bacteria,1131,0.611246764,0.285015,0.91220504
D015179,species,40518,Ruminococcus bromii,Bacteria,1110,3.919750451,1.158985,5.895322984
D015179,species,328813,Alistipes onderdonkii,Bacteria,1098,1.522333682,0.35802,3.409805402
D015179,species,562,Escherichia coli,Bacteria,1096,3.855635469,0.7137815,8.813284728
