phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D003924,species,40520,Blautia obeum,Bacteria,386,0.581429379,0.250915,0.877211026
D003924,species,820,Bacteroides uniformis,Bacteria,382,3.046876093,1.162365,4.613861092
D003924,species,28116,Bacteroides ovatus,Bacteria,373,1.343799478,0.34106,2.92637815
D003924,species,33039,[Ruminococcus] torques,Bacteria,365,1.441250565,0.56082,2.745041018
D003924,species,818,Bacteroides thetaiotaomicron,Bacteria,364,1.530452909,0.50679,3.784538107
D003924,species,821,Bacteroides vulgatus,Bacteria,364,3.087062657,1.16236,4.716598166
D003924,species,562,Escherichia coli,Bacteria,362,2.617756389,0.2893205,8.05875495
D003924,species,1304,Streptococcus salivarius,Bacteria,353,0.550376267,0.0818152,1.981602241
D003924,species,357276,Bacteroides dorei,Bacteria,348,2.385894823,0.2283,5.649280557
D003924,species,39488,[Eubacterium] hallii,Bacteria,343,0.659865198,0.12953,1.252389971
D003924,species,46506,Bacteroides stercoris,Bacteria,342,4.514627092,0.564808,8.003097613
D003924,species,208479,[Clostridium] bolteae,Bacteria,342,0.708084109,0.0468604,3.84437431
D003924,species,823,Parabacteroides distasonis,Bacteria,341,0.714852508,0.26217,1.322380535
D003924,species,371601,Bacteroides xylanisolvens,Bacteria,340,0.466330424,0.122252,0.877637393
D003924,species,47678,Bacteroides caccae,Bacteria,330,1.787449756,0.471875,3.781785244
D003924,species,28117,Alistipes putredinis,Bacteria,327,2.628767547,0.84876,3.954680336
D003924,species,39486,Dorea formicigenerans,Bacteria,326,0.350642552,0.123952,0.474006219
D003924,species,39491,[Eubacterium] rectale,Bacteria,318,3.355966919,0.09470845,6.486515333
D003924,species,46503,Parabacteroides merdae,Bacteria,317,1.379323049,0.44589,2.462990012
D003924,species,853,Faecalibacterium prausnitzii,Bacteria,316,5.743486668,4.367645,5.638564782
D003924,species,88431,Dorea longicatena,Bacteria,316,0.569796534,0.0883008,1.202411735
D003924,species,33038,[Ruminococcus] gnavus,Bacteria,308,0.631446002,0.0884931,1.613775139
D003924,species,410072,Coprococcus comes,Bacteria,308,0.506322158,0.1814205,0.85674476
D003924,species,817,Bacteroides fragilis,Bacteria,305,1.191830425,0.230062,2.65860179
D003924,species,40518,Ruminococcus bromii,Bacteria,305,3.351645143,0.547498,5.687164006
D003924,species,39485,[Eubacterium] eligens,Bacteria,304,1.583274005,0.2976325,3.348172048
D003924,species,328814,Alistipes shahii,Bacteria,302,0.553151398,0.2533485,0.815383055
D003924,species,216816,Bifidobacterium longum,Bacteria,295,1.09378716,0.13285,2.999672895
D003924,species,1512,[Clostridium] symbiosum,Bacteria,293,0.162540703,0.0332867,0.590257893
D003924,species,246787,Bacteroides cellulosilyticus,Bacteria,291,0.751189747,0.10775,2.002988731
D003924,species,301301,Roseburia hominis,Bacteria,288,0.454224363,0.155452,0.815479797
D003924,species,166486,Roseburia intestinalis,Bacteria,287,0.559579089,0.0908505,1.389307859
D003924,species,39490,Eubacterium ramulus,Bacteria,286,0.318122164,0.03662305,1.38776621
D003924,species,328813,Alistipes onderdonkii,Bacteria,285,0.737794669,0.12287,1.81893217
D003924,species,74426,Collinsella aerofaciens,Bacteria,283,0.683468553,0.196392,1.225383881
D003924,species,1535,[Clostridium] leptum,Bacteria,275,0.169042847,0.0475568,0.581683509
D003924,species,165179,Prevotella copri,Bacteria,273,11.51478215,1.08945,16.76096667
D003924,species,35833,Bilophila wadsworthia,Bacteria,268,0.084517146,0.03413545,0.141121243
D003924,species,39496,Eubacterium ventriosum,Bacteria,267,0.466914857,0.07981,1.17374989
D003924,species,204516,Bacteroides massiliensis,Bacteria,267,2.403644345,0.182891,4.836134165
D003924,species,214856,Alistipes finegoldii,Bacteria,267,0.290136929,0.07514,0.520169243
D003924,species,360807,Roseburia inulinivorans,Bacteria,266,1.443521199,0.3305335,3.353849332
D003924,species,29466,Veillonella parvula,Bacteria,258,0.297291729,0.03203245,1.547287784
D003924,species,61171,Holdemania filiformis,Bacteria,258,0.054670302,0.03256285,0.071260042
D003924,species,169435,Anaerotruncus colihominis,Bacteria,253,0.13458323,0.03374,0.295996072
D003924,species,329854,Bacteroides intestinalis,Bacteria,250,0.601091588,0.0646341,1.608471673
D003924,species,28118,Odoribacter splanchnicus,Bacteria,249,0.607470896,0.38709,0.766014404
