"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343"
"1",0.15356,0,0,0.67257,0,5.5412,7.87239,0.02692,1.809,0.0196,0,0,0.1955,0.33325,0.18001,8.2747,0.23505,0.1599,0,2.49765,0.16348,0.01859,0.16715,0,1.89331,2.28394,0,17.365,0.00044,0.32043,0.00434,0.00344,0.05102,0.06069,0.06733,0.49708,0,0,2.36352,0,0.44879,5.49209,0,0,0,0,0,0,0,0.00185,0,0.08126,0,0.97902,0,0,0,0.01252,0,9.60696,0,0.9397,1.58552,0,0.02962,0.0044,0,0,0,0,0,0.14507,0.06321,0,0.00834,0,0,0,0,0,0.00102,0,0,0.24429,0.57537,0.04183,1.15722,0,1.02922,0,0.23522,0.00029,0,0,0,0.03827,0,0,0,0,0.00336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0.15345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.87961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.14987,0.07618,1.47839,1.1982,3.10866,0,0.95736,2.51326,4.18947,0.03291,0,0.62045,0.67775,0.2761,0.00119,18.455,0.2062,0.00294,0,5.00049,0.04087,0.16958,0.6556,0.58352,0.00051,14.9987,0,1.16693,0.73926,0,0.7221,0.27201,0,0.03517,0.71625,0.03746,0,0.02248,0,0,0.03623,0.24383,0.28751,0.04925,0.24527,0,1.33137,0,0,0.00113,0,0.03,0,0,0.0145,0,0.56677,0.03735,0,0,0,0,0,0,0.00013,0,0.02095,0,0,0,0,0.00183,0,1.01243,0.10537,0,0,0,0,0.0038,0.08253,0,0,0,0,0,0,0.05928,0,0.07342,0.28891,0,0,0,0.00044,0.08263,0,0,0,0,0.02972,0,0,0,0.0041,0,0,0,0,0,0,0,0,0.02883,0,0,0,0,0,0,0,0,0,0.14188,0,0,0,2.52257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29035,0,0,0,0,0,0,0,0.05613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.24458,6.20933,0.00193,4.57571,0,3.29682,0,1.84144,0,0.62197,0.36473,0,0.08025,0,0.00079,11.672,0.40509,0.02694,4.05791,0.96333,0.12636,0,0.28592,0,12.7185,0.63968,0.52917,9.32951,0,0,3.01879,0.43847,0.00638,11.0934,3.0853,0.00338,0,0,0.00499,6.3321,1.25754,0.7271,0.00118,0.01237,0,0,0,0,9.08733,13.0877,0,0.00135,0,0.00489,0.03637,0,0,0.06806,2.29151,0.10432,0,0,1.46237,0.02163,0.04367,0,0,0,0.00348,0,0,0.08367,0,0.82908,0.00231,0,0.02104,1.86388,0,0,0.02068,1.32083,2.02249,0,0,0.50019,0,0,0.00099,0,0.63188,0.00397,0,0,0,0,0,0,0,0,0.01934,0,0,0,0,0,0.0016,0,0,0,0,0,0,0.00721,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00758,0,0,0,0,0,0,0,0,0,0.08029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2.59272,0,4.9229,2.83698,0.23878,0,12.7294,0.81366,4.57769,0.20444,0,0.13563,0.15132,0.00424,0,10.4809,0.18224,0.011,0,0.00059,0.09355,0.64002,0,4.09087,14.889,1.14081,0,9.66271,0.07186,0.00419,0.01575,0.05011,0,0.00628,0.49944,0.08629,0,0,0,0,1.36944,0.08586,0.00242,0.00924,0.26345,0,0,0,0,1.65145,0,0.01154,0.00182,27.1057,0,0,0.08717,0.00948,0,0,0.02057,0,0,6.47096,0.00021,0,0,0,0,0.03142,0,0,0,0,3e-04,0,0.00663,0,0,0,0.00128,0,0,0.00328,0,0,0.85753,0.04009,0,0.0066,2.36542,0,0,0,0.00163,0,0,0,0,0,0.0314,0,0,0,0.00235,0,0.71157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26422,0,0,0,0.52135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955,0,0,0,0,0,0,0.02529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01541,0,0,0,0,0.70708,0,0,0,0,0,0,0,0,0,0,0,0.65475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.05659,1.33424,1.81592,0.05509,3.84621,4.51448,3.44946,0.03411,0.04133,0.06605,0,0,0,1.73571,8.8444,3.83636,0.10856,5.99249,0.00248,1.0786,0.00173,0.0467,0.01975,0,0.27368,2.04687,0.0538,3.9571,0,14.9287,0.0969,0.01933,0.00082,0.32065,0.06727,0.00406,14.2301,0,0.00047,0.00051,0.32906,0.11662,0.14282,0,0,0.92867,0.416,0,0,1.02889,0,0.01009,0,0.02562,0.43991,0.16727,0,0.00118,0.00416,0.00066,0,0,0.18589,0.00087,0.00175,0,0.00218,0,1.80661,0,0,4.86904,0,0.13611,0.05787,0,0.00983,0,0,0,0.01827,0.97892,0,0,0.15963,0.00198,0,0,0,0,1.22304,0,0,0,0,0,0,0,0,0,0.17625,0,0.00931,0,0,0,0.03575,0,0,0,0,0,0,0.00077,0,0.05873,0,0,0,0,0,0,0,0,0,1.13697,0,0.20232,0,0,0,0,0,0,0.00345,0,0,0,1.58793,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31404,0.17002,0,0,0,0,0,0,0.11819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00347,0,0,0,0.0093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.25307,0.00214,13.2408,0.23489,0,3.1541,0,0.00787,0,0.0476,0,0,0,0.42355,0,2.6999,0.12376,0.41731,4.55716,4.35567,0.00636,0.2067,0.33933,0,2.78762,2.99521,0.93911,0.03627,0,0,0.28093,1.16281,0.09469,0.2997,0.41208,0.01332,0.0278,0,0.50984,0,0,0.14859,0,0.00692,0,0,0,0,0,15.5959,0,0.01222,0,5.19295,0,0,0,0.09063,0,44.3043,0.00513,0,0.1226,0,0.06212,0,0,0,2.78227,0,0,0,0.00856,0.01109,0.00041,0,0,0,0,0,0.01601,2.75995,0,0.04427,0,0.13554,0,0,0,0,0.72465,0.02853,0,0,0,0.04137,0,0,0,0,0.0132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07577,0,2.05032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1.05504,0,4.28952,0.52633,0,0,0.06841,0.11104,0,0.05092,0,0,0,0.07509,0.00951,1.19569,0.20651,0.39033,0,4.24015,0.22999,0.08567,0.99683,0,0.01244,1.72816,4.00491,0.15532,0.00478,0.12869,2.03546,0.14673,0.36745,0.00139,0.44466,0.00794,0.05417,0.00045,0,0,0.00026,12.6159,0,0.07538,0,0,0,0.02624,0,0.0548,0,0,0,0.00139,0.17096,0,0.01753,0.02737,0,0.00682,0.01729,0,0,0,0,0,0.00499,0,0,0,0,0.02813,0.00259,0,0.04152,0,0,0.73096,0,0,0.04788,0,0,0.05438,0.09344,0.02329,0.57608,0,0,0,1.91334,0.06076,0,0.03504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09036,0.00308,0,0,0,0,0.35636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00093,0,0,0,0,0,0.148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.21977,1.78546,0.01765,0.77437,0,0,0.06208,0.00552,0.00986,0.12868,0,0.27157,0.70358,0.5558,0,0.02116,0.40272,6.85131,0,5.1721,0.04399,0,0.88998,0.9597,28.2632,0.3142,0,0.16327,0.04783,0,0.02429,0,9e-04,0,0,0.04523,0,0,0.19872,0,0,3.02588,0.02949,0.07122,0,0,0.21355,0.13654,0,10.1417,0,0.06844,0,0,0.12479,0,0.01511,0.3525,0,0,0,0,1.50312,0,0.01634,0,0,0,0,0,0,0.25672,0.00117,0,0.00153,0,0,0,0,0.12482,0.00337,0,0,0,0.19742,0,0,0.00795,0,0,0.17944,0,0,0.55458,0,0.00726,0,0,0,0,0.00763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58586,0.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04549,0,0,0,0,0,0,0.34455,0,0,0,0,0,0,0,0.01221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.13247,0.90527,0.38673,0.15258,0.28684,1.09345,0,0.00879,3.3765,1.18275,0.00186,0.0481,0.00233,0.04788,10.9129,0.01577,0.10917,0.01465,0.37909,3.55881,0.89611,0.24325,0,0,0.08688,0.39218,0.3665,4.35361,0.0188,2.84052,0.02288,1.61307,0.01057,0,0.00175,0.00897,0,0.05496,0.48851,0.00269,0,0.59776,0,0.033,0.07183,0,0,0.30791,0,0.00141,0,0.01499,0,0,0.04577,0,0,0.00059,1.61129,4.30976,0.00368,0,0,0,0.09988,0,0,0,0,0,0,0,0.00246,0,0.07345,0,0,0,0,0.31605,0.04335,0,0,0.04562,0,0.01622,0.46117,0.00958,0,0.03456,0.48805,0,0.00406,0,0,0,0,0,0,0,0.00605,0,0,0,8e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,2.63876,0,0,0,0,0,0.00138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12191,0,0,0,0,0,0,0.00757,0,0,0,0,0,0,0.09851,0,0,0,0,0.11699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1.50932,8.45132,11.699,0.59565,1.95002,2.65406,5.4395,0.22733,0.0746,0.05255,0.00193,0.04125,0.08949,0,0.00207,0.02139,0.1259,12.239,5.27414,14.1638,0.22442,0,1.75716,0,2.52671,0.00225,0.15087,0.13285,0,7.08978,1.38487,1.11016,0.02903,0.0595,0.02186,0.05796,0,0.26935,12.7707,0.00465,0.07576,0.41656,6.1735,0.01059,0,0,0.75264,0.00795,0,19.7209,0,1.46158,0,0.00069,0.53132,0.02355,0,0.34529,0.16385,0.01211,0.03527,0.12291,0,0.10354,0.00391,0,0,0,0,0,0,2.19358,0.00054,0.1507,0.0081,0,0.00428,8.26983,0,0,0.96168,2.53565,0,0.00411,0,0.04499,0,0.01287,0.07766,0.01369,0.16311,0.51426,0,0.4905,0,0,0,0,0,0,0,0,0,0,0,0,0.97224,0,0,0,0,0,0,0.00888,0,0.27819,0,0,0,0,0,0,0,0,0,0.47077,0,0.05841,0,0,0,0,0,0,0.33405,0,0,0,0,0.10107,0,0,0,0,0,0,0,0,0,0,0,0.00261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01396,0,0,0,0,0,11.6905,0,0,0,0,0,0,0,0,0,0,0.01565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
