phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D015212,species,40520,Blautia obeum,Bacteria,296,1.497515464,0.6228575,2.780428057
D015212,species,33039,[Ruminococcus] torques,Bacteria,292,0.998357718,0.30567,1.737982368
D015212,species,820,Bacteroides uniformis,Bacteria,280,5.684475943,2.882645,7.000508578
D015212,species,28116,Bacteroides ovatus,Bacteria,277,2.159209004,1.11035,3.081890669
D015212,species,208479,[Clostridium] bolteae,Bacteria,276,0.349617859,0.0838047,0.893472957
D015212,species,33038,[Ruminococcus] gnavus,Bacteria,274,1.388536055,0.19234,3.963747241
D015212,species,1304,Streptococcus salivarius,Bacteria,273,1.1565526,0.16571,3.17786406
D015212,species,821,Bacteroides vulgatus,Bacteria,268,4.391179111,1.42165,7.946816639
D015212,species,39491,[Eubacterium] rectale,Bacteria,263,5.464570077,2.81716,6.952862298
D015212,species,1308,Streptococcus thermophilus,Bacteria,262,0.742062256,0.0974285,2.036194298
D015212,species,1512,[Clostridium] symbiosum,Bacteria,258,0.371673412,0.1093745,0.823648557
D015212,species,818,Bacteroides thetaiotaomicron,Bacteria,255,1.517680773,0.591566,3.039525783
D015212,species,729,Haemophilus parainfluenzae,Bacteria,243,0.455366163,0.0552113,1.723164562
D015212,species,166486,Roseburia intestinalis,Bacteria,243,2.261631471,0.30792,5.324202272
D015212,species,261299,Intestinibacter bartlettii,Bacteria,243,0.224964859,0.06484,0.470426698
D015212,species,39485,[Eubacterium] eligens,Bacteria,241,1.906893045,0.84581,2.952882391
D015212,species,39486,Dorea formicigenerans,Bacteria,238,0.389557054,0.204811,0.555463528
D015212,species,216816,Bifidobacterium longum,Bacteria,236,3.252678844,1.029275,6.399777543
D015212,species,853,Faecalibacterium prausnitzii,Bacteria,235,8.739521828,8.31757,5.487423552
D015212,species,301301,Roseburia hominis,Bacteria,231,0.610397516,0.146102,1.281691074
D015212,species,371601,Bacteroides xylanisolvens,Bacteria,231,0.813029409,0.181188,2.46688579
D015212,species,357276,Bacteroides dorei,Bacteria,228,3.054060159,0.50175,5.052485839
D015212,species,39488,[Eubacterium] hallii,Bacteria,225,0.560313228,0.217698,0.854573778
D015212,species,823,Parabacteroides distasonis,Bacteria,224,1.032619015,0.279214,1.669188025
D015212,species,218538,Dialister invisus,Bacteria,220,2.419304885,0.5440755,3.50059088
D015212,species,1535,[Clostridium] leptum,Bacteria,218,0.325264038,0.1276165,0.735537168
D015212,species,410072,Coprococcus comes,Bacteria,217,0.963892554,0.606105,1.206323282
D015212,species,46503,Parabacteroides merdae,Bacteria,213,1.410959239,0.865373,1.78396441
D015212,species,562,Escherichia coli,Bacteria,212,1.19605512,0.0605737,5.743385318
D015212,species,29466,Veillonella parvula,Bacteria,212,0.712589793,0.0449808,3.352157486
D015212,species,487175,Parasutterella excrementihominis,Bacteria,209,0.680290268,0.105392,2.540443584
D015212,species,47678,Bacteroides caccae,Bacteria,208,1.811768665,0.603215,3.537033713
D015212,species,328813,Alistipes onderdonkii,Bacteria,205,1.421242567,0.245391,3.262638045
D015212,species,28117,Alistipes putredinis,Bacteria,204,2.09928205,0.9987215,2.968818313
D015212,species,84112,Eggerthella lenta,Bacteria,202,0.055777837,0.0274975,0.081792389
D015212,species,46506,Bacteroides stercoris,Bacteria,201,2.742552679,0.302015,6.377211457
D015212,species,817,Bacteroides fragilis,Bacteria,200,1.576265671,0.388031,4.937316738
D015212,species,88431,Dorea longicatena,Bacteria,200,0.714682269,0.38334,1.067786609
D015212,species,61171,Holdemania filiformis,Bacteria,197,0.047388045,0.0270785,0.052250257
D015212,species,33035,Blautia producta,Bacteria,196,0.197549732,0.02961545,0.811754218
D015212,species,239935,Akkermansia muciniphila,Bacteria,194,1.406073189,0.0648828,3.215985792
D015212,species,74426,Collinsella aerofaciens,Bacteria,193,1.073099343,0.34094,1.723492968
D015212,species,360807,Roseburia inulinivorans,Bacteria,193,0.996334111,0.24544,1.722058786
