"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.04546,0.04892,11.045,0.68538,0.01794,0.00245,0,5.21165,0.13629,0.09428,0.02704,0.03433,0.04972,0.02285,0.02997,0.06422,0.16316,0.07502,0,0.0581,0.05258,0.38274,0.63159,1.16207,0.20481,0.125,0,0,1.99448,0.02825,0,0,0,0,0.04013,0.0198,0.59345,0,0.02386,0.0022218,0,0,0,0.00413,0,0.00638,0,0,9.46888,0,0,0,0.01755,2.75952,1.16951,0,0,3.51926,0,0.16854,0.0286612,0,0.37913,0,0,0.70719,0,0,0,0,0,0,0,0,0,0.00456,0.09354,0,0,0,0,0,0.499904,0,0.174855,0,0.138418,0,0.048213,0.0524344,0.0693201,0.358154,0.10598,0,0,0,0.321938,0.030883,0,0,0,0,0.0466577,0,0,0,0,0,0,0.154193,0,0.240621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01186,0,0,0,0,0,0,0,0.0491017,0,0,0,0,0,0,0,0,0.0011109,0,0,0,0,0,0,0.00022218,0,0,0,0,0,0.00155,0.0255507,0,0.065543,0,0,11.8547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116389,0,0,0,0,0,0,0,0,0.123795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00423231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109662,0,0,0,0,0,0,0,0,0,0,0
"4",0.00436,0,11.9517,0.22176,0.16298,0.23964,0,1.12399,0.12165,0.05966,0.03491,0.03965,0.00487,0.00939,0.2364,0.14257,0.15344,4.7478,0,0.22798,0.06778,0.29898,0.57222,1.20672,0,0.09958,0.19852,0.99891,0,0,0.09166,2.14733,10.672,4.3133,0,0.05073,0,0.70554,0.02712,0.00159189,0,0,0,0.126642,0.04104,0,0.98231,0,9.16837,0,0.013553,0,0,3.03888,1.20986,11.4527,0.00422142,3.43419,8.53831,0,0.0254702,0,0.04928,0,0.06074,0.00326,0,0.40537,0.0797625,0,0,0,2.51614,0.02242,0,0.01511,0,0,0,0,0,0,0.295295,0,0.0469607,0.0313273,0.16874,0.0115533,0.0489505,0.0393992,0.070839,0.299673,0.0624816,3.18239,0.00788,0,0.247539,0.0326337,0,0.03633,0,0.266394,0.0159189,0.0253285,0.06508,0,0.660763,0,0,0.144066,0.0191075,0.265845,0.00977591,0,0,7.87498,0.0204405,0,0,0,0,0.087761,0.0199962,0,0.0102203,0,0,0.01019,0,0,0.0391036,0.00910937,0.520567,0,0,0.0262661,1.01669,0.0106646,0.0277725,0,0.0311052,0,0,0,0,0,0,0,0,0,0.0157748,0.000203484,0,0,0,0,0,0.00504,0,0,0.0871559,0,0,4.57713,0,0,0,0,0,0,5.01034,0,0,0,0.011109,0,0,0.061766,0.0460366,0,0,0,0,0,0,0,0,0.0686647,0,0,0.0319915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000900917,0,0,0,0,0,0,0.00037985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00459664,0,0,0,0.13624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.13949,0,7.31963,4.42461,0.00678,0.00686,0.4987,58.0285,0,0.06752,0.01778,0.10565,0.1216,0.30792,0.22269,0.01402,0.13339,4.66116,0,0.24953,0.07209,0.22961,0.27193,0,0,0.447692,0,0,1.19208,0.05995,0.07297,2.01855,17.7768,5.81091,0,0.06387,0.57253,0,0.09586,0.00705113,7.59773,0,0,0.0935234,0.04171,0,1.55734,0,0,0.01909,0,0,0,0,0.13651,0,0,0,6.53321,0.17699,0.0326115,0,0,0,0,0.64809,0,0,0,0,0,0,4.0046,0.02855,0,0,0,0,0,0,0,0,1.18547,0,0.024679,0.0163168,0.160854,0.00676552,0.0824101,0.0414254,0.326555,0,0.0308487,3.48492,0.00458,0,0.902985,0,0,0.03803,0,0.162771,0.0110174,0,0,0,1.09999,0,0,0.600227,0.0202966,0.0171871,0.00955133,0,0,0,0.0254702,0,0,0,0,0.10984,0.00915335,0.07614,0,1.4181,0,0.0857043,0,0,0.0258682,0,0,0,0,0.0193906,0,0.00477566,0,1.46305,0,0,0,0,0,0,0,0,0,0,0.0151229,0.000296678,0,0,0,0,0.065543,0.01829,0.00756147,0,0.0176278,0,0,0.0824339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157661,0,0,0.0142195,0.0433251,0,0,0,0,0,0,0,0.00123763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.14262,0,2.21342,1.4339,0.01211,0.01532,0.49283,0.13197,1.35768,0.09299,0.21574,0.12008,0.69484,4.22294,0.00387,0.00873,0,0.0034,0,0.05204,0.07145,0.15823,0.23571,2.75496,0.01279,0.310418,1.37927,1.02618,0,0.06128,0.04997,1.41418,1.29385,7.0589,0.02446,0.02791,1.24418,0,0.08132,0.0071107,2.98285,0.02094,0,0.0797659,0,0,0,0,0.42569,0.05204,0,0,0,0.33817,0.14994,0,0,0,0.09066,0,0.0426642,0,0.05012,0,0,0.00279,0,0,0.0883498,0,0,0,0.10362,0.166635,0,0.02031,0,0,0,0,0,0,1.21675,0,0.293453,0,0.114865,0.0114581,0.0380149,0.109122,0.235474,0.0127802,0.138385,0.02615,0.80736,0,0.741701,0,0,0.00155526,0,0.378998,0.0259814,0,0.06278,0.14995,0,0.0319939,0,0.855746,0,0.083414,0,0.0322161,0,0,0.00925461,0,0,0,0,0.00881391,0,0,0.00716349,1.55941,0,0,0.00933155,0,0,0,0.696451,0,0,0,0,0,0,0,0,0.00844283,0,0,0,0.0108868,0,0.0144417,0,0,0,0.000233608,0,0,0,0,0,0.03155,0,0,0,0,0,9.58112,0,0,0,0.00461,0,0,0,0,0,0,0.00676552,0,0,0,0.0495053,0,0,0.00835741,0,0,0,0,0,0.00135138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00328987,0,0,0,2.80407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.00976,0,2.55544,1.44047,0.15092,0.23935,0,0.09687,0,0.12275,0.21986,0.05182,0.70618,0,0.03277,0.18441,0.08448,0,0,5.1245,0.10302,0.28031,0.31521,0.01729,0,0.267943,1.39106,2.24109,0.12258,0.02664,0,1.42707,1.25747,6.86388,0.04563,0.709,1.0234,0,0.0128864,0.00835669,0,0,0,0.0861489,0,0.20553,0.4855,0,0,0.05371,0,0,0,0.33327,0.07886,12.4609,0.00238783,0,0.10426,0.02723,0.0638148,0,0.36353,0.00446,0,1.14467,0,0,0.0264417,0,0,0,0.09656,0.280968,0,0,0,0,0,0,0,0,1.62652,0,0.146622,0.167464,0.164475,0.0144949,0.037985,0.140544,0.382889,0.0847815,0.0558379,0.00217,0.89297,0,0.838328,0.0171871,0,0.00119392,0,1.30946,0.00835669,0,0.07193,0.1485,0.0594939,0,0,0.0877453,0.0255603,0,0,0,0,0,0.0161358,0,0,0,0,0,0,0,0,0,0,0.116262,0,0,0.0290859,0.0103473,0.034815,0,0,0.048134,0,0,0.0397972,0,0.0115412,0,5.00036,0,0.000795944,0.00716349,0,0.0242763,0,0,0.00528835,0.000825522,0,0,0,0,0.027858,0.204209,0.024679,0,0.0377414,0,0,0.120435,0,0,0,0,0,0,0,0,0,0,0.010136,0,0,0,0.00301087,0,0,0,0,0,0,0,0,0,0,0,0.00323735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.03906,0,12.4217,0.23299,0,0.00712,0,1.28321,0,0.00402,0,0.042,0.02645,4.06128,0.07232,0.0666,0.09709,0.06275,0,0.3025,0.09646,0.33092,0,0.04216,3.10475,0.239029,0.22596,2.2547,0.13123,0.00445,0.04366,2.08405,16.9704,0,0.03259,0.00914,0.62742,0,0.0127351,0.00262268,0.03815,0,0,0.141684,0.04821,0.19697,0.51933,0,0.01228,0.02539,0.00676552,0,0,3.1173,0.51532,0,0.0163057,1.64566,6.93703,0,0.0242598,2.91975,30.1333,0,0,1.53657,0,0.03413,0.0150419,0,0,0,0,0.0215941,0,0.00755,0,0,0,0,0,0,0.808442,0,0.933348,0,0.135724,0,0.0350784,0.055732,0.0596661,0.0220313,0.147198,0,0.0448803,0,0.39373,0.0325451,0,0.000881391,0,0,0.0668784,0.0191027,0,0,0,0.00477566,0,0.254073,0.0281693,0,0.0096953,0,0,0,0.00569775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338032,0,0,0.117374,0,0,0,0,0,0,0,0,0,0.0233569,0,0.00440696,0,0,0.00902512,0.000610999,0,0,0.0113312,0.0213293,0.0149837,0,0,0,0,0,0,7.68222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194241,0,0,0.0171871,0.0453688,0,0,0,0,0.186882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00910937,0,0,0,0,0,0,0.00161867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00438135,0,0,0,0,0,0,0,0.0282598,0,0,0,0,0,0,0
