phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D065626,species,33039,[Ruminococcus] torques,Bacteria,191,1.792700795,0.80856,3.004535175
D065626,species,40520,Blautia obeum,Bacteria,190,0.737548294,0.28453,1.373437646
D065626,species,820,Bacteroides uniformis,Bacteria,189,4.568882781,2.80482,6.128115509
D065626,species,28116,Bacteroides ovatus,Bacteria,189,2.19452098,0.812996,5.162223729
D065626,species,821,Bacteroides vulgatus,Bacteria,183,5.94765262,2.1536,8.655553289
D065626,species,1304,Streptococcus salivarius,Bacteria,178,0.846108687,0.07521,2.414382102
D065626,species,39491,[Eubacterium] rectale,Bacteria,168,4.848443059,2.18199,7.260761255
D065626,species,301301,Roseburia hominis,Bacteria,162,0.696463962,0.211395,1.296862355
D065626,species,39488,[Eubacterium] hallii,Bacteria,161,1.563791644,1.0929,2.3727058
D065626,species,74426,Collinsella aerofaciens,Bacteria,157,1.312128656,0.73975,2.594736175
D065626,species,818,Bacteroides thetaiotaomicron,Bacteria,156,1.215605241,0.396876,1.84146857
D065626,species,853,Faecalibacterium prausnitzii,Bacteria,153,5.004745163,4.63422,4.068698712
D065626,species,28117,Alistipes putredinis,Bacteria,153,3.544120923,2.114,4.463991131
D065626,species,88431,Dorea longicatena,Bacteria,151,1.37797694,0.93146,1.416117924
D065626,species,166486,Roseburia intestinalis,Bacteria,151,1.154151294,0.32092,2.323767079
D065626,species,208479,[Clostridium] bolteae,Bacteria,151,0.369459782,0.04623,0.742090386
D065626,species,1535,[Clostridium] leptum,Bacteria,150,0.122994869,0.03151235,0.400529344
D065626,species,216816,Bifidobacterium longum,Bacteria,150,1.052236776,0.27109,3.305447185
D065626,species,562,Escherichia coli,Bacteria,149,3.760800708,0.14895,12.57244969
D065626,species,658089,Lachnospiraceae bacterium 5_1_63FAA,Bacteria,149,0.124157517,0.03943,0.287354381
D065626,species,39486,Dorea formicigenerans,Bacteria,145,0.65273308,0.49175,0.659379764
D065626,species,410072,Coprococcus comes,Bacteria,145,1.235316718,0.85401,1.290514521
D065626,species,371601,Bacteroides xylanisolvens,Bacteria,144,0.384995768,0.0985736,0.747822691
D065626,species,823,Parabacteroides distasonis,Bacteria,143,0.974446425,0.413252,1.440556
D065626,species,658087,Lachnospiraceae bacterium 7_1_58FAA,Bacteria,142,0.052490423,0.0282,0.065920225
D065626,species,46503,Parabacteroides merdae,Bacteria,140,1.210728794,0.7206275,1.577140518
D065626,species,357276,Bacteroides dorei,Bacteria,139,2.274326728,0.51449,4.386361939
D065626,species,33038,[Ruminococcus] gnavus,Bacteria,138,0.806691227,0.11622,1.921996844
D065626,species,39485,[Eubacterium] eligens,Bacteria,138,2.431625423,1.28202,2.810902246
D065626,species,46506,Bacteroides stercoris,Bacteria,138,5.126009762,1.140975,8.993050034
D065626,species,1308,Streptococcus thermophilus,Bacteria,135,1.757099098,0.21267,4.455996516
D065626,species,47678,Bacteroides caccae,Bacteria,135,1.510040058,0.851031,2.071087529
D065626,species,360807,Roseburia inulinivorans,Bacteria,135,1.195490074,0.5826,1.703962638
D065626,species,39496,Eubacterium ventriosum,Bacteria,133,0.290263009,0.128407,0.478424581
D065626,species,214856,Alistipes finegoldii,Bacteria,133,0.382367808,0.11954,0.640469447
D065626,species,328813,Alistipes onderdonkii,Bacteria,133,0.964317951,0.19427,1.892840477
D065626,species,649756,Anaerostipes hadrus,Bacteria,132,0.13866947,0.03723,0.276794843
D065626,species,40518,Ruminococcus bromii,Bacteria,130,2.543623853,0.5002965,4.023307246
D065626,species,35833,Bilophila wadsworthia,Bacteria,129,0.068307047,0.02992,0.148706296
D065626,species,28118,Odoribacter splanchnicus,Bacteria,128,0.655762229,0.5113095,0.559151447
D065626,species,1318,Streptococcus parasanguinis,Bacteria,127,0.593242441,0.05094,1.538757582
D065626,species,817,Bacteroides fragilis,Bacteria,126,1.387955376,0.520295,3.008959683
D065626,species,328814,Alistipes shahii,Bacteria,126,0.614350819,0.32856,0.825707571
D065626,species,61171,Holdemania filiformis,Bacteria,124,0.040214819,0.0168296,0.056483536
D065626,species,116085,Coprococcus catus,Bacteria,120,0.32746875,0.236075,0.452174288
D065626,species,457412,Ruminococcus sp. 5_1_39BFAA,Bacteria,120,2.328135667,1.86483,1.855955312
D065626,species,204516,Bacteroides massiliensis,Bacteria,115,2.948342604,1.06905,4.402245207
D065626,species,292800,Flavonifractor plautii,Bacteria,115,0.059288348,0.03162,0.106307799
D065626,species,239935,Akkermansia muciniphila,Bacteria,114,2.81720494,0.251132,7.052032545
D065626,species,39490,Eubacterium ramulus,Bacteria,113,0.392448276,0.22267,0.426544866
D065626,species,487175,Parasutterella excrementihominis,Bacteria,111,0.281762106,0.03375,0.618139082
D065626,species,665950,Lachnospiraceae bacterium 3_1_46FAA,Bacteria,111,0.179955315,0.0579,0.341511363
D065626,species,487174,Barnesiella intestinihominis,Bacteria,109,1.967161284,1.38817,1.874671991
D065626,species,218538,Dialister invisus,Bacteria,108,4.150816927,1.20925,10.89322092
D065626,species,169435,Anaerotruncus colihominis,Bacteria,107,0.069960709,0.01948,0.182223007
D065626,species,261299,Intestinibacter bartlettii,Bacteria,106,0.364547131,0.16049,0.515809936
D065626,species,1680,Bifidobacterium adolescentis,Bacteria,105,1.765256992,0.60771,3.131163826
D065626,species,1512,[Clostridium] symbiosum,Bacteria,101,0.062338633,0.01672,0.125237453
D065626,species,626932,Alistipes indistinctus,Bacteria,101,0.108680866,0.05877,0.13735679
D065626,species,29466,Veillonella parvula,Bacteria,98,0.245638413,0.01922245,0.910677372
D065626,species,40519,Ruminococcus callidus,Bacteria,97,0.471963837,0.10222,0.857400218
D065626,species,358743,[Clostridium] citroniae,Bacteria,97,0.025738896,0.01179,0.039918379
D065626,species,446660,Adlercreutzia equolifaciens,Bacteria,96,0.120968281,0.04152,0.186462274
D065626,species,246787,Bacteroides cellulosilyticus,Bacteria,94,1.953885042,0.339025,5.609831157
D065626,species,729,Haemophilus parainfluenzae,Bacteria,93,0.379195823,0.06342,1.009389686
D065626,species,84112,Eggerthella lenta,Bacteria,90,0.021085876,0.007511755,0.034892202
D065626,species,1118061,Alistipes obesi,Bacteria,90,0.508195,0.34971,0.553979899
D065626,species,165179,Prevotella copri,Bacteria,87,8.345730915,0.09185,17.54321997
D065626,species,28111,Bacteroides eggerthii,Bacteria,86,1.646050568,0.249727,3.250408329
D065626,species,28037,Streptococcus mitis,Bacteria,85,0.06444925,0.01355,0.158129333
D065626,species,658081,Lachnospiraceae bacterium 1_1_57FAA,Bacteria,84,1.055038214,0.2032,3.805004706
D065626,species,471189,Gordonibacter pamelaeae,Bacteria,83,0.041741154,0.00969,0.063748162
D065626,species,658082,Lachnospiraceae bacterium 2_1_58FAA,Bacteria,83,0.160352289,0.0581,0.258671665
D065626,species,454154,Paraprevotella clara,Bacteria,82,0.299265469,0.1301,0.523227949
D065626,species,1522,[Clostridium] innocuum,Bacteria,80,0.022775789,0.00468,0.047584535
D065626,species,39492,[Eubacterium] siraeum,Bacteria,80,2.148168264,0.14623,7.514437675
D065626,species,310298,Bacteroides coprocola,Bacteria,80,4.540867071,0.561085,10.32624141
D065626,species,154046,Hungatella hathewayi,Bacteria,79,0.147796709,0.01183,0.58886503
D065626,species,338188,Bacteroides finegoldii,Bacteria,79,0.959316384,0.2501,2.006538879
D065626,species,1358,Lactococcus lactis,Bacteria,78,0.484886258,0.084675,0.882894919
D065626,species,46228,Ruminococcus lactaris,Bacteria,77,1.184573056,0.62619,1.382483303
D065626,species,469610,Burkholderiales bacterium 1_1_47,Bacteria,76,0.147705526,0.06104,0.197829686
D065626,species,658655,Lachnospiraceae bacterium 1_4_56FAA,Bacteria,74,0.112331892,0.03819,0.220978781
D065626,species,1660,Actinomyces odontolyticus,Bacteria,71,0.01077374,0.00441,0.01555957
D065626,species,43675,Rothia mucilaginosa,Bacteria,70,0.026131391,0.004815,0.043887197
D065626,species,28026,Bifidobacterium pseudocatenulatum,Bacteria,69,0.553633203,0.06565,1.705665291
D065626,species,39777,Veillonella atypica,Bacteria,69,0.188275864,0.0236586,0.892517446
D065626,species,310297,Bacteroides plebeius,Bacteria,69,2.741221786,0.3995,5.114453906
D065626,species,329854,Bacteroides intestinalis,Bacteria,69,0.67441745,0.05202,1.508140215
D065626,species,1288121,Alistipes senegalensis,Bacteria,67,0.044101194,0.02322,0.056811073
D065626,species,333367,[Clostridium] asparagiforme,Bacteria,66,0.027479545,0.01467,0.034002589
D065626,species,454155,Paraprevotella xylaniphila,Bacteria,66,0.201756401,0.028475,0.415630205
D065626,species,457422,Erysipelotrichaceae bacterium 2_2_44A,Bacteria,66,0.018578636,0.0065,0.027314717
D065626,species,39778,Veillonella dispar,Bacteria,65,0.098668181,0.01891,0.22206362
D065626,species,106588,Pseudoflavonifractor capillosus,Bacteria,65,0.013212338,0.00715,0.01461732
D065626,species,469614,Erysipelotrichaceae bacterium 6_1_45,Bacteria,65,0.016402923,0.00748,0.02909993
D065626,species,1328,Streptococcus anginosus,Bacteria,64,0.074231875,0.007211135,0.198330823
D065626,species,113107,Streptococcus australis,Bacteria,64,0.050498281,0.013985,0.087765495
D065626,species,658086,Lachnospiraceae bacterium 3_1_57FAA_CT1,Bacteria,62,0.103992419,0.01638,0.31313398
D065626,species,1681,Bifidobacterium bifidum,Bacteria,61,0.896556624,0.45564,1.420605541
D065626,species,187327,Acidaminococcus intestini,Bacteria,61,0.75651612,0.12545,2.175074599
D065626,species,1547,Erysipelatoclostridium ramosum,Bacteria,60,0.075970626,0.02771,0.124637016
D065626,species,291645,Bacteroides nordii,Bacteria,60,0.102800492,0.022,0.207863552
D065626,species,1735,Holdemanella biformis,Bacteria,59,2.562874791,0.5558,6.232582091
D065626,species,46124,Granulicatella adiacens,Bacteria,57,0.018357736,0.00545435,0.033728888
D065626,species,328812,Parabacteroides goldsteinii,Bacteria,57,0.188758613,0.03784,0.34399172
D065626,species,457421,Clostridiales bacterium 1_7_47FAA,Bacteria,55,0.019454727,0.00911,0.032947511
D065626,species,674529,Bacteroides faecis,Bacteria,55,1.354495455,0.04856,2.745596019
D065626,species,53443,Blautia hydrogenotrophica,Bacteria,54,0.11632577,0.02834,0.376921223
D065626,species,1070699,Clostridiaceae bacterium JC118,Bacteria,54,0.045821852,0.02904,0.060446517
D065626,species,1531,[Clostridium] clostridioforme,Bacteria,53,0.304806415,0.01915,0.6352936
D065626,species,291644,Bacteroides salyersiae,Bacteria,53,0.401677156,0.15493,0.780512769
D065626,species,658657,Erysipelotrichaceae bacterium 21_3,Bacteria,53,0.020289811,0.00543,0.05259015
D065626,species,40545,Sutterella wadsworthensis,Bacteria,52,1.865012885,1.0608,2.015434597
D065626,species,387661,Parabacteroides johnsonii,Bacteria,52,0.495208414,0.03342305,1.002535118
D065626,species,1099853,Coprobacter fastidiosus,Bacteria,52,0.064141731,0.02791,0.092489912
D065626,species,552398,Ruminococcaceae bacterium D16,Bacteria,51,0.063486078,0.00874,0.16222307
D065626,species,1502,Clostridium perfringens,Bacteria,50,0.244987334,0.00926886,1.127415321
D065626,species,68892,Streptococcus infantis,Bacteria,50,0.0234512,0.00856,0.032522109
D065626,species,1382,Atopobium parvulum,Bacteria,49,0.015700879,0.00338501,0.034520179
D065626,species,1343,Streptococcus vestibularis,Bacteria,48,0.138822956,0.030195,0.216469785
D065626,species,31971,[Eubacterium] dolichum,Bacteria,48,0.213320583,0.02473,0.576428334
D065626,species,573,Klebsiella pneumoniae,Bacteria,45,1.91425235,0.0416504,8.365404448
D065626,species,1338,Streptococcus intermedius,Bacteria,45,0.009261405,0.00322,0.024086714
D065626,species,1686,Bifidobacterium catenulatum,Bacteria,45,0.185046446,0.0401699,0.393970734
D065626,species,876,Desulfovibrio desulfuricans,Bacteria,44,0.05431906,0.008065,0.105526613
D065626,species,1264,Ruminococcus albus,Bacteria,44,0.021213509,0.00240592,0.050864223
D065626,species,1379,Gemella haemolysans,Bacteria,43,0.01639811,0.00351375,0.034415247
D065626,species,665951,Lachnospiraceae bacterium 8_1_57FAA,Bacteria,43,0.274065116,0.21831,0.295490909
D065626,species,1305,Streptococcus sanguinis,Bacteria,39,0.024112564,0.00721,0.039974425
D065626,species,84135,Gemella sanguinis,Bacteria,39,0.038102051,0.01102,0.123746615
D065626,species,29347,[Clostridium] scindens,Bacteria,37,0.012036908,0.00249,0.038834241
D065626,species,33035,Blautia producta,Bacteria,37,0.091299236,0.01207,0.358550221
D065626,species,626929,Bacteroides clarus,Bacteria,37,0.464908919,0.21551,0.504333711
D065626,species,29348,[Clostridium] spiroforme,Bacteria,35,0.189878255,0.128349,0.240204679
D065626,species,658085,Lachnospiraceae bacterium 5_1_57FAA,Bacteria,35,0.121394857,0.01755,0.363156232
D065626,species,1302,Streptococcus gordonii,Bacteria,34,0.045530294,0.016575,0.087112694
