phenotype,taxonomy rank level,NCBI taxon id,scientific name,super kingdom,Nr. runs in which the species/genus can be found,mean relative abundance,median relative abundance,SD of relative abundance
D013274,species,210,Helicobacter pylori,Bacteria,388,8.118895788,2.339775,12.83552924
D013274,species,294,Pseudomonas fluorescens,Bacteria,388,0.24334548,0.1066115,0.723179163
D013274,species,820,Bacteroides uniformis,Bacteria,388,0.348026842,0.2598305,0.302756645
D013274,species,1303,Streptococcus oralis,Bacteria,388,1.183798716,0.747723,1.272349281
D013274,species,1428,Bacillus thuringiensis,Bacteria,388,0.108088863,0.08633155,0.095864995
D013274,species,1596,Lactobacillus gasseri,Bacteria,388,1.35252713,0.4801765,3.035763829
D013274,species,29448,Bradyrhizobium elkanii,Bacteria,388,0.565377048,0.138788,3.219839987
D013274,species,38313,Shewanella algae,Bacteria,388,3.553567709,2.78542,2.814103992
D013274,species,40214,Acinetobacter johnsonii,Bacteria,388,1.005354948,0.3557475,2.643819804
D013274,species,43675,Rothia mucilaginosa,Bacteria,388,0.546536251,0.213143,0.979164833
D013274,species,44933,Halomonas cupida,Bacteria,388,0.451022321,0.3591785,0.616890736
D013274,species,47770,Lactobacillus crispatus,Bacteria,388,0.225394726,0.05129665,1.270383456
D013274,species,47877,Pseudomonas amygdali,Bacteria,388,0.080132784,0.0582276,0.159292478
D013274,species,77098,Halomonas pacifica,Bacteria,388,1.781097439,1.17976,3.853565469
D013274,species,167964,Anaerolinea thermophila,Bacteria,388,0.161851348,0.1138605,0.189455391
D013274,species,173480,Gemmatimonas aurantiaca,Bacteria,388,0.485323841,0.265032,0.649082766
D013274,species,202955,Acinetobacter tjernbergiae,Bacteria,388,0.358757267,0.131334,0.725992902
D013274,species,307126,Lactobacillus apodemi,Bacteria,388,0.354568606,0.176347,0.417385514
D013274,species,332163,Candidatus Solibacter usitatus,Bacteria,388,0.20741705,0.111423,0.307810452
D013274,species,351091,Oscillibacter valericigenes,Bacteria,388,0.241486373,0.1670235,0.249525687
D013274,species,363832,Solirubrobacter soli,Bacteria,388,0.067609597,0.04299485,0.07809269
